generation,time,memory_usage_MB,cpu_usage_percent
0,0.37213563919067383,692.6640625,37.7
0,0.11292290687561035,692.5078125,5.5
0,0.15244317054748535,692.63671875,3.0
0,0.3921635150909424,692.59375,6.5
0,0.14832425117492676,692.25390625,7.0
0,0.2880210876464844,692.484375,7.0
0,0.18398571014404297,692.9765625,3.0
0,0.17200350761413574,692.47265625,4.0
0,0.3406529426574707,693.87890625,21.7
0,0.6818246841430664,693.99609375,55.5
0,0.32680678367614746,694.98046875,43.0
0,0.3186666965484619,695.19921875,4.0
0,0.20055341720581055,695.19921875,9.6
0,0.18704843521118164,695.39453125,3.5
0,0.24257659912109375,695.35546875,3.5
0,0.12067627906799316,695.28125,4.0
0,0.14116215705871582,695.28125,3.5
0,0.11371016502380371,695.28125,4.0
0,0.14613127708435059,695.23828125,5.0
0,0.6709613800048828,695.23828125,57.0
0,0.47788023948669434,695.11328125,57.8
0,0.11491274833679199,695.17578125,4.0
0,0.15202856063842773,695.13671875,3.5
0,0.14993858337402344,695.13671875,4.0
0,0.2696342468261719,695.12890625,3.5
0,0.3262016773223877,695.00390625,4.0
0,0.16644573211669922,695.00390625,4.5
0,0.3742091655731201,694.94921875,4.5
0,0.31101155281066895,694.94921875,9.5
1,0.5736005306243896,709.05078125,6.5
1,0.7361536026000977,709.28515625,5.0
1,0.2749507427215576,709.28515625,11.0
1,0.2066030502319336,709.20703125,4.5
1,0.10697698593139648,709.20703125,4.0
1,0.25035953521728516,709.20703125,3.0
1,0.2838613986968994,710.875,19.5
1,0.7202479839324951,715.265625,57.5
1,0.6014833450317383,713.01171875,47.2
1,0.32714343070983887,713.24609375,5.8
1,0.1279606819152832,713.2421875,4.5
1,0.5325946807861328,713.17578125,6.5
1,0.2669386863708496,713.17578125,4.0
1,0.1276259422302246,713.17578125,6.3
1,0.16640686988830566,713.16796875,4.0
1,0.09729576110839844,713.16796875,3.0
1,0.12125468254089355,713.6171875,27.5
1,0.29117631912231445,713.6171875,56.0
1,0.3029663562774658,713.6171875,53.0
1,0.27519822120666504,713.61328125,6.5
1,0.22918152809143066,713.61328125,6.5
1,0.1489262580871582,713.60546875,3.5
1,0.3852977752685547,713.48046875,4.5
1,0.2284560203552246,713.48046875,5.4
1,0.1655442714691162,713.42578125,5.0
1,0.5953567028045654,713.42578125,4.0
1,0.13193273544311523,712.6484375,34.0
1,0.2631399631500244,713.015625,55.8
1,0.5424425601959229,715.44140625,34.8
1,0.34207725524902344,715.6171875,3.5
1,0.19911646842956543,715.6171875,6.0
1,0.11485433578491211,715.61328125,4.5
1,0.5103881359100342,715.84765625,4.5
1,0.15210390090942383,715.84765625,4.0
1,0.1487114429473877,715.84765625,3.5
1,0.13256454467773438,715.84765625,8.5
1,0.17248034477233887,712.58984375,23.0
1,0.28517651557922363,713.31640625,55.5
